bio_sex,cblind
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,TRUE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,TRUE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,TRUE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,TRUE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,TRUE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,TRUE
male,TRUE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,TRUE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,TRUE
male,TRUE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,TRUE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,TRUE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,TRUE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,TRUE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,TRUE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,TRUE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
male,TRUE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
female,FALSE
female,FALSE
male,FALSE
male,FALSE
male,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
male,TRUE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
female,FALSE
male,FALSE
male,FALSE
