edition,start_date,winner_name,winner_team,distance,time_overall,time_margin,stage_wins,stages_led,height,weight,born,died,full_name,nickname,birth_town,birth_country,nationality
1,07-01-1903,Maurice Garin,La Française,2428,94.55388888888888,2.9891666666666667,3,6,1.62,60,03 March 1871,02/19/1957,NA,The Little Chimney-sweep,Arvier,Italy, France
2,07-02-1904,Henri Cornet,Conte,2428,96.09861111111113,2.2705555555555557,1,3,NA,NA,04 August 1884,03/18/1941,NA,Le rigolo (The joker),Desvres,France, France
3,07-09-1905,Louis Trousselier,Peugeot–Wolber,2994,NA,NA,5,10,NA,NA,29 June 1881,04/24/1939,NA,Levaloy / Trou-trou,Paris,France, France
4,07-04-1906,René Pottier,Peugeot–Wolber,4637,NA,NA,5,12,NA,NA,05 June 1879,01/25/1907,NA,NA,Moret-sur-Loing,France, France
5,07-08-1907,Lucien Petit-Breton,Peugeot–Wolber,4488,NA,NA,2,5,NA,NA,18 October 1882,12/20/1917,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
6,07-13-1908,Lucien Petit-Breton,Peugeot–Wolber,4497,NA,NA,5,13,NA,NA,18 October 1882,12/20/1917,Lucien Georges Mazan,Lucien Petit-Breton,Plessé,France, France
7,07-05-1909,François Faber,Alcyon–Dunlop,4498,NA,NA,6,13,1.78,88,26 January 1887,05/09/1915,NA,The giant of colombes,Aulnay-sur-Iton,France, Luxembourg
8,07-01-1910,Octave Lapize,Alcyon–Dunlop,4734,NA,NA,4,3,NA,NA,24 October 1887,07/14/1917,NA,NA,Paris,France, France
9,07-02-1911,Gustave Garrigou,Alcyon–Dunlop,5343,NA,NA,2,13,NA,NA,24 September 1884,01/28/1963,Cyprien Gustave Garrigou,NA,Vabres,France, France
10,06-30-1912,Odile Defraye,Alcyon–Dunlop,5289,NA,NA,3,13,NA,NA,14 July 1888,08/21/1965,NA,NA,Rumbeke,Belgium, Belgium
11,06-29-1913,Philippe Thys,Peugeot–Wolber,5287,197.9,0.13555555555555554,1,8,NA,NA,08 October 1889,01/16/1971,NA,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
12,06-28-1914,Philippe Thys,Peugeot–Wolber,5380,200.48,0.01694444444444444,1,15,NA,NA,08 October 1889,01/16/1971,NA,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
13,06-29-1919,Firmin Lambot,La Sportive,5560,231.12083333333337,1.715,1,2,NA,NA,14 March 1886,01/19/1964,NA,NA,Florennes,Belgium, Belgium
14,06-27-1920,Philippe Thys,La Sportive,5503,228.6036111111111,0.9658333333333332,4,14,NA,NA,08 October 1889,01/16/1971,NA,Le basset (The Basset Hound),Anderlecht,Belgium, Belgium
15,06-26-1921,Léon Scieur,La Sportive,5485,221.84055555555557,0.305,2,14,NA,NA,18 March 1888,10/07/1969,NA,NA,Florennes,Belgium, Belgium
16,06-25-1922,Firmin Lambot,Peugeot–Wolber,5375,222.135,0.6947222222222222,0,3,NA,NA,14 March 1886,01/19/1964,NA,NA,Florennes,Belgium, Belgium
